//placeName, latitude, longitude
place309,-47.816,155.901
place310,16.429,-89.735
place311,83.289,64.616
place312,-3.575,-79.951
place313,-15.669,162.821
place314,43.813,33.726
place315,-4.239,-26.551
place316,-36.693,-162.329
place317,-29.679,169.627
place318,-20.594,-52.848
place319,-65.606,53.870
place320,14.404,122.674
place321,-0.948,178.199
place322,-15.334,150.851
place323,-86.047,98.386
place324,54.329,-94.157
place325,-12.974,-81.816
place326,9.857,87.373
place327,-33.458,55.277
place328,-13.857,-108.905
place329,-39.284,-75.335
place330,57.636,-81.727
place331,-56.053,-60.384
place332,13.787,-1.533
place333,6.344,82.981
place334,-11.207,-140.806
place335,31.352,-83.652
place336,44.615,149.119
place337,-85.582,32.023
place338,-5.307,154.424
place339,-85.690,-131.616
place340,-56.075,-75.848
place341,-24.624,25.570
place342,-13.105,-119.113
place343,12.868,39.388
place344,36.999,65.433
place345,22.027,-78.415
place346,-20.944,172.705
place347,-17.334,108.247
place348,45.970,-170.071
place349,-23.824,144.015
place350,-71.620,71.221
place351,37.539,-87.630
place352,-70.355,-93.602
place353,67.831,-129.522
place354,-9.335,69.511
place355,48.751,-48.256
place356,-41.623,140.536
place357,22.807,78.271
place358,-16.646,155.050
place359,86.407,12.231
place360,-1.867,-63.067
place361,-71.788,60.388
place362,-35.029,112.320
place363,10.843,100.829
place364,57.010,-31.584
place365,-19.608,87.750
place366,-36.125,-99.283
place367,-18.081,-31.391
place368,4.700,-137.470
place369,-82.668,72.547
place370,-87.598,-163.851
place371,-36.904,-127.287
place372,-86.290,77.067
place373,69.216,122.501
place374,-37.774,-170.764
place375,19.963,169.245
place376,1.589,68.673
place377,81.996,-142.962
place378,-38.892,-162.987
place379,-9.478,-22.041
place380,51.872,-20.346
place381,-77.781,-3.300
place382,36.101,-145.533
place383,58.050,-9.437
place384,-78.890,-147.825
place385,-75.838,131.703
place386,31.850,107.185
place387,2.643,179.973
place388,34.999,115.032
place389,-82.550,161.381
place390,-2.290,50.748
place391,-12.242,131.160
place392,-68.541,-32.759
place393,88.793,-155.765
place394,49.123,161.382
place395,-20.928,-27.750
place396,81.357,-55.414
place397,-46.698,25.583
place398,28.020,89.705
place399,61.826,134.214
place400,-63.424,-103.749
place401,-84.005,-62.758
place402,76.880,-177.817
place403,9.540,-28.999
place404,16.178,-68.462
place405,68.604,0.352
place406,76.612,61.192
place407,35.542,-90.953
place408,-17.398,-160.442
place409,39.645,-46.639
place410,86.463,-97.699
place411,-20.887,-91.966
place412,43.067,93.618
place413,-48.105,-132.712
place414,-5.107,57.594
place415,29.313,-10.651
place416,-78.279,-97.168
place417,-7.043,112.718
place418,-33.417,161.527
place419,5.638,84.997
place420,-19.468,-95.731
place421,23.462,-110.444
place422,-54.366,-11.063
place423,38.538,-51.206
place424,-26.580,-144.289
place425,-87.309,-163.709
place426,-57.523,73.443
place427,-37.343,-109.625
place428,43.809,53.762
place429,-69.053,-57.436
place430,-88.932,153.540
place431,78.193,79.066
place432,13.476,19.806
place433,-82.066,154.000
place434,-64.427,-96.755
place435,21.309,-100.155
place436,0.393,38.894
place437,86.617,57.719
place438,-9.966,-174.845
place439,45.744,-124.486
place440,-83.795,-84.683
place441,17.684,41.562
place442,-46.714,46.264
place443,83.984,-34.132
place444,30.948,4.170
place445,-15.390,79.962
place446,-36.112,-121.168
place447,81.292,23.957
place448,74.764,106.809
place449,-84.342,-58.564
place450,44.794,-82.972
place451,34.740,60.637
place452,-74.482,153.605
place453,-71.264,125.013
place454,-8.832,-22.056
place455,31.075,-176.629
place456,-44.445,112.903
place457,-59.966,12.409
place458,-39.101,104.944
place459,38.735,86.753
place460,-82.809,-112.431
place461,31.651,-31.499
place462,78.240,-131.878
place463,46.717,-125.543
place464,-61.984,63.928
place465,54.086,-92.369
place466,48.331,159.962
place467,87.202,82.246
place468,-83.339,62.312
place469,-24.509,167.417
place470,-29.589,8.032
place471,8.864,-27.661
place472,75.352,41.801
place473,50.888,153.165
place474,87.093,36.782
place475,40.720,172.822
place476,-52.680,121.082
place477,40.274,-112.416
place478,11.228,-41.769
place479,-12.914,131.881
place480,60.990,-32.334
place481,86.560,-21.655
place482,-26.280,177.469
place483,20.786,-5.555
place484,8.838,8.977
place485,2.655,156.055
place486,-50.042,-142.438
place487,33.196,164.381
place488,-69.193,50.067
place489,15.743,156.523
place490,-53.465,126.551
place491,56.964,161.630
place492,84.362,-105.052
place493,-20.144,-145.353
place494,-12.531,-141.210
place495,-69.647,78.625
place496,-3.581,-114.313
place497,31.250,140.993
place498,-23.728,62.946
place499,-41.885,-48.923
place500,-70.219,-116.408
